Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-24,350.575,350.83,344.39,349.04,416137,0.0
2020-08-25,349.83,352.68,348.56,350.91,392027,0.0
2020-08-26,351.27,355.22,348.21,353.56,511008,0.0
2020-08-27,353.13,353.13,345.1,351.43,784515,0.0
2020-08-28,351.58,354.2818,350.59,353.99,438754,0.0
2020-08-31,352.18,359.352,351.01,356.86,570376,0.0
2020-09-01,355.35,356.67,346.91,347.83,812975,0.0
2020-09-02,349.45,368.3,347.99,364.53,1008976,0.0
2020-09-03,366.74,366.74,342.61,346.52,832580,0.0
2020-09-04,346.06,346.06,332.64,342.3,743455,0.0
2020-09-08,336,346.16,333.7111,340.61,951184,0.0
2020-09-09,342.96,351.6,341,346.69,543654,0.0
2020-09-10,352.635,353.682,343.56,345.98,444866,0.0
2020-09-11,349.11,350.86,345.02,349.93,586687,0.0
2020-09-14,354.69,358.96,352.16,353.38,560759,0.0
2020-09-15,355.22,358.37,351.3452,352.18,678883,0.0
2020-09-16,355.19,376.67,320.24,322.47,3264475,0.0
2020-09-17,315.91,316.81,293.49,298.02,5208558,0.0
2020-09-18,298.36,300.92,290.83,295.5,3637845,0.0
2020-09-21,266.87,283.24,260.42,269.94,6572678,0.0
2020-09-22,268.81,275.2598,261.245,268.52,4074452,0.0
2020-09-23,274.7,278.16,271.14,273.16,1991146,0.0
2020-09-24,273.69,287.485,267.1,286.47,2422285,0.0
2020-09-25,284.43,302.23,279.88,299.635,4057564,0.0
2020-09-28,307.25,307.61,297.67,305.78,1614567,0.0
2020-09-29,304.6,309.7,302.37,305.5,1385813,0.0
2020-09-30,305.18,310.61,303.61,309.45,1166521,0.0
2020-10-01,312.775,313.1375,306.15,309.61,1592578,0.0
2020-10-02,306.15,311.78,305,308.64,1247606,0.0
2020-10-05,310.74,320.62,310.08,316.16,1274219,0.0
2020-10-06,317.79,323.93,315.1,317.02,1064308,0.0
2020-10-07,319.32,325.32,314.5488,324.6,1016627,0.0
2020-10-08,327.78,334,322.64,333.78,1210590,0.0
2020-10-09,337.99,339.6,333.9672,339.22,1224058,0.0
2020-10-12,341.06,356,339.63,352.2,1438103,0.0
2020-10-13,340,346.39,339.8001,345.14,1455217,0.0
2020-10-14,346.13,347.43,326.24,330.12,1423678,0.0
2020-10-15,327.93,330.71,320.15,323.77,982765,0.0
2020-10-16,326.2,332.73,325.57,326.27,956929,0.0
2020-10-19,328.11,329.28,318.6692,321.26,737442,0.0
2020-10-20,320.95,325.25,318.62,320.4,563741,0.0
2020-10-21,320.51,323.39,316.415,317.77,369263,0.0
2020-10-22,318.84,326.88,318.84,326.11,677221,0.0
2020-10-23,327.88,327.88,320,323.6,645566,0.0
2020-10-26,321.29,323.5,313.31,318.91,740341,0.0
2020-10-27,321.44,327.995,318.435,321.71,1020149,0.0
2020-10-28,317.36,320,309.66,309.9,937231,0.0
2020-10-29,309.85,319.15,305.25,314,1220906,0.0
2020-10-30,308.59,311.77,288.01,292.69,2358792,0.0
2020-11-02,298,303.87,288.88,292.76,1339126,0.0
2020-11-03,297,301.5952,293.77,296.48,1073173,0.0
2020-11-04,308.17,311.94,299.7,311.34,1383119,0.0
2020-11-05,319.53,319.55,307.69,311.88,554334,0.0
2020-11-06,310.1,311.2461,302.41,307.85,730025,0.0
2020-11-09,316.84,319.05,305.18,305.68,1320537,0.0
2020-11-10,301.61,307.9999,299.19,301.57,1438923,0.0
2020-11-11,303.29,307.89,299.32,302.37,842722,0.0
2020-11-12,302.18,307.64,299.69,304.88,781420,0.0
2020-11-13,305.64,310.01,304.11,309.46,640643,0.0
2020-11-16,309,309.07,295.79,296.65,1470618,0.0
2020-11-17,296.73,299.365,293.99,297.88,1040026,0.0
2020-11-18,296.99,301.1,295,295.16,963254,0.0
2020-11-19,295.71,300.83,292.65,298.99,860371,0.0
2020-11-20,300.27,306.6873,297.21,300.84,743243,0.0
2020-11-23,301,306,297.57,301.7,755015,0.0
2020-11-24,304.81,309.77,303.26,305.48,804013,0.0
2020-11-25,309.24,309.4,301.725,304.11,465135,0.0
2020-11-27,305,319.33,304.01,317.02,853855,0.0
2020-11-30,317.32,322.55,311.02,322.55,1110999,0.0
2020-12-01,323.86,336.54,322.595,334.47,1831643,0.0
2020-12-02,334.35,341.62,332.3,340.97,1286242,0.0
2020-12-03,341.01,346.6,337.015,346.21,1558703,0.0
2020-12-04,345.07,350.99,343.4,350.96,1070560,0.0
2020-12-07,348.03,350.9,341.55,342.65,707806,0.0
2020-12-08,341.19,343.4,335.68,343.05,854447,0.0
2020-12-09,343.26,346.56,336,337.74,1227797,0.0
2020-12-10,338.15,348.93,336.555,343.72,576911,0.0
2020-12-11,341.88,345.2784,338.97,342.33,631139,0.0
2020-12-14,345,351.32,344.1996,347.56,832595,0.0
2020-12-15,348.84,353.15,346.78,352.8,788607,0.0
2020-12-16,353.49,354.59,350.04,353.52,541365,0.0
2020-12-17,358.44,361.91,356.27,361.51,991458,0.0
2020-12-18,365.28,366.69,359.95,366.53,957255,0.0
2020-12-21,360.7,364.345,356.9,362.62,764473,0.0
2020-12-22,368.085,378.33,365.79,370.885,1048621,0.0
2020-12-23,370.01,374.18,366.06,366.06,608421,0.0
2020-12-24,363.45,369.062,362.01,367.16,238043,0.0
2020-12-28,372.73,373.2,365.84,366.81,445220,0.0
2020-12-29,371.08,372.81,363.11,366.11,388624,0.0
2020-12-30,368.22,370.335,360.76,364.3,516106,0.0
2020-12-31,366.36,370.43,360.895,369.97,353329,0.0
2021-01-04,370.84,374.5,361.39,367.82,808529,0.0
2021-01-05,365.27,374.92,363.77,374.9,653993,0.0
2021-01-06,367.43,380.565,365,376.2,876572,0.0
2021-01-07,376.68,384.27,376.65,382.09,639061,0.0
2021-01-08,384.57,387.15,375,379.76,916699,0.0
2021-01-11,379.65,382.5,356,372.49,1808921,0.0
2021-01-12,370.85,372.75,359.02,361.57,1163319,0.0
2021-01-13,361.87,363.3,359.3187,362.24,1310294,0.0
2021-01-14,364.02,372.3,362.025,371.02,745812,0.0
2021-01-15,371.24,396,370.03,376.46,1724029,0.0
2021-01-19,382.48,390.83,379.97,390.43,915133,0.0
2021-01-20,389.95,404.07,389.95,403.61,1227330,0.0
2021-01-21,403,407.125,395,405.24,886805,0.0
2021-01-22,400.66,408.81,398.2501,406.14,694903,0.0
2021-01-25,407.02,425.71,406.69,421,1560223,0.0
2021-01-26,418.95,425.92,416.29,420.64,927120,0.0
2021-01-27,414.52,434.94,406.84,432.41,1998323,0.0
2021-01-28,433.5,453.68,432.96,438.02,1309214,0.0
2021-01-29,435.73,439.22,425.82,425.95,1180295,0.0
2021-02-01,427.14,450.26,427.14,443.02,1007515,0.0
2021-02-02,444.84,453,432.44,440.68,795895,0.0
2021-02-03,440.14,440.5,419.7,420.04,859070,0.0
2021-02-04,425.39,432,419.3,428.75,665609,0.0
2021-02-05,431.9,432.475,422.55,428.91,698581,0.0
2021-02-08,432.44,451.36,431.02,451.34,1031436,0.0
2021-02-09,450,453.8,442.09,453.08,804482,0.0
2021-02-10,450.97,460.52,448.41,449.89,944728,0.0
2021-02-11,454.13,456.66,445.51,451.5,815273,0.0
2021-02-12,453.31,555.77,452.33,504.75,3265700,0.0
2021-02-16,508.3796,508.3796,487.34,492.48,1315938,0.0
2021-02-17,490.8722,496.96,481.5001,494.14,759363,0.0
2021-02-18,486.75,490.05,475.6,485.46,779649,0.0
2021-02-19,488.18,494,479.55,486.26,822832,0.0
2021-02-22,480,482.836,468.48,470.32,850641,0.0
2021-02-23,463.28,469.61,450.16,464.51,1267146,0.0
2021-02-24,462,466.035,448.08,461.05,1037516,0.0
2021-02-25,460.81,461.76,437.16,445.86,1187841,0.0
2021-02-26,444.85,445.98,432.06,439.42,1171435,0.0
2021-03-01,449,451.74,443.1401,446.49,714242,0.0
2021-03-02,444.61,448.3492,438.07,441.05,586900,0.0
2021-03-03,436.56,437.105,416.17,416.21,971026,0.0
2021-03-04,413.35,418.35,395.69,399.61,1165142,0.0
2021-03-05,402.24,403.48,382.41,398.86,1057838,0.0
2021-03-08,396.47,404.475,383.09,383.62,747903,0.0
2021-03-09,391.2117,405.91,391.2117,400.86,773680,0.0
2021-03-10,407.86,417.2818,399.17,399.33,575449,0.0
2021-03-11,406.57,418.42,404.6021,413.25,606779,0.0
2021-03-12,402.41,405.74,393.7975,405.12,553721,0.0
2021-03-15,404.31,421.88,404.31,420.56,684964,0.0
2021-03-16,421.06,425.5173,412.03,419.53,938483,0.0
2021-03-17,413.97,424.11,408.65,420.39,642821,0.0
2021-03-18,412.47,415.92,405.33,409.75,791590,0.0
2021-03-19,410.74,418,407.005,415.5,757862,0.0
2021-03-22,416.24,431.15,416.24,430.08,703737,0.0
2021-03-23,431.39,431.73,416.22,416.43,518279,0.0
2021-03-24,417.66,421.55,404.8,407.11,514412,0.0
2021-03-25,406,409.91,394.3204,398.15,1082889,0.0
2021-03-26,400,402.73,393.475,401.49,980101,0.0
2021-03-29,401.5,402.98,389.54,394.79,1270940,0.0
2021-03-30,394.4,405.1878,364.241,368.52,4350086,0.0
2021-03-31,373.2135,389.05,373.02,384.26,2191436,0.0
2021-04-01,393.3,398.94,380.74,384.98,1255421,0.0
2021-04-05,386.03,387.915,379.26,384.44,701547,0.0
2021-04-06,424.55,426.44,412.99,414.94,2925602,0.0
2021-04-07,412.15,414.62,398.68,400.52,865237,0.0
2021-04-08,405.22,409.19,402.21,403.94,636930,0.0
2021-04-09,406.26,406.26,394.5,403.32,521815,0.0
2021-04-12,406.34,405,395.04,398.73,536263,0.0
2021-04-13,400.13,407,399.68,403.01,551631,0.0
2021-04-14,406.65,408.5796,396.62,398.29,543599,0.0
2021-04-15,403.76,407.72,399.62,401.96,841524,0.0
2021-04-16,401.89,402.39,390.52,398.61,832083,0.0
2021-04-19,398.05,405.25,393.35,404.18,746719,0.0
2021-04-20,401.83,406.95,395.49,398.46,481180,0.0
2021-04-21,398.01,404.07,395.005,402.89,442881,0.0
2021-04-22,402.02,411.43,402.02,408.67,559988,0.0
2021-04-23,409.73,416.7099,410.04,414.73,676309,0.0
2021-04-26,420.65,421.06,412.8401,420.85,661773,0.0
2021-04-27,417.19,422.64,413.55,413.6,753953,0.0
2021-04-28,413.55,417,393,405.67,759349,0.0
2021-04-29,407.64,411.03,396.89,399.62,650077,0.0
2021-04-30,397.23,399.445,390.48,393.05,800083,0.0
2021-05-03,393.48,396.66,385.95,386.01,754470,0.0
2021-05-04,384.15,384.15,375.08,378.7,748597,0.0
2021-05-05,381.88,384.09,377.43,378.34,537089,0.0
2021-05-06,376.68,377.22,369.08,377.09,573538,0.0
2021-05-07,379.76,389.45,378.69,384.095,582144,0.0
2021-05-10,382.92,383.265,379.06,380.45,677276,0.0
2021-05-11,377.27,385.61,373.46,381.56,562935,0.0
2021-05-12,374.98,382.03,371,372.84,679305,0.0
2021-05-13,375.59,379.11,368.07,373.08,599651,0.0
2021-05-14,375.46,383.65,372.99,381.03,576494,0.0
2021-05-17,381.74,381.939,375.98,379.45,571963,0.0
2021-05-18,379.53,391.845,378.04,386.36,697181,0.0
2021-05-19,380,387.05,377.445,386.4,666666,0.0
2021-05-20,390.36,404,389.5,396.34,1093645,0.0
2021-05-21,397.77,406.51,397.5,398.85,768440,0.0
2021-05-24,403.04,406.8892,399.79,399.99,501503,0.0
2021-05-25,401.48,405,395.86,397.09,554301,0.0
2021-05-26,395.79,399.97,395.7,397.71,503436,0.0
2021-05-27,397.49,409.51,396.57,409.2,881060,0.0
2021-05-28,409.6,416.49,404.07,405.78,761757,0.0
2021-06-01,410.49,410.8,399.15,407.67,630544,0.0
2021-06-02,406.45,413.13,406.44,412.98,524247,0.0
2021-06-03,408.72,413.51,401.5201,404.6,467198,0.0
2021-06-04,407.37,421.77,405.4655,418.08,568292,0.0
2021-06-07,419.68,435.87,418.12,430.34,756753,0.0
2021-06-08,433.45,439.9868,426.205,433.88,572344,0.0
2021-06-09,437.12,438.48,429.18,433.94,511127,0.0
2021-06-10,436.2,451.75,430.39,450.67,660347,0.0
2021-06-11,449.46,453.25,445.78,453.16,507055,0.0
2021-06-14,453.17,455.26,448.325,452.35,515496,0.0
2021-06-15,452.49,453.96,448.03,451.97,281824,0.0
2021-06-16,454.21,457.2,440.13,445.41,526284,0.0
2021-06-17,443.79,457.57,442.23,455.26,426159,0.0
2021-06-18,452.6,460.48,450.72,456.28,601378,0.0
2021-06-21,459.81,465.93,450.29,460.72,334306,0.0
2021-06-22,461.79,467.12,458.61,465.81,365270,0.0
2021-06-23,464.67,472.54,464.2115,469.14,373005,0.0
2021-06-24,472.4,477.2605,467.57,467.78,307167,0.0
2021-06-25,468.07,475.38,467.51,474.94,321368,0.0
2021-06-28,478.99,487,477.5,481.19,506457,0.0
2021-06-29,481.02,483.38,475.56,479.51,387131,0.0
2021-06-30,479.18,480.3568,470.43,472.88,374517,0.0
2021-07-01,472,476.16,469.75,470.66,558096,0.0
2021-07-02,477.96,477.96,469.01,474.52,409629,0.0
2021-07-06,472.99,476.04,469.33,474.705,427881,0.0
2021-07-07,475,479,466.61,473.69,473394,0.0
2021-07-08,467.8,474.29,466.06,473.42,360187,0.0
2021-07-09,473.68,478.36,469.21,476.52,511305,0.0
2021-07-12,480.88,485.73,476.97,484.12,409358,0.0
2021-07-13,483.52,488,480.3101,483.52,444387,0.0
2021-07-14,484.72,485.715,459.43,460.93,507820,0.0
2021-07-15,460.92,465.911,455.92,462.49,390855,0.0
2021-07-16,462.41,470.09,460.3779,465.46,329616,0.0
2021-07-19,463.68,478.79,461.57,470.06,525936,0.0
2021-07-20,471.16,489.44,468.495,487.23,595288,0.0
2021-07-21,483.95,485.915,471.29,480.84,431285,0.0
2021-07-22,482.67,487.655,480.59,486.53,246129,0.0
2021-07-23,487.09,496.5999,485.48,495.52,282977,0.0
2021-07-26,494.76,496.01,486.63,491.51,227363,0.0
2021-07-27,490.36,490.5247,481.15,486.18,368173,0.0
2021-07-28,487.23,497.73,486.41,492.15,299684,0.0
2021-07-29,497.46,497.46,486.57,491.62,415096,0.0
2021-07-30,492.78,497.6,489.38,495.89,379927,0.0
2021-08-02,497.13,499.96,490.61,492.76,313781,0.0
2021-08-03,493.56,499.64,492.52,498.07,485835,0.0
2021-08-04,497.29,506.15,496.4916,504.45,746195,0.0
2021-08-05,504.59,515.82,504.59,515.72,546838,0.0
2021-08-06,491.13,505,490.9501,497.1,636074,0.0
2021-08-09,495.69,508.57,493.56,505.96,420174,0.0
2021-08-10,505.87,511.43,504.64,506.45,476733,0.0
2021-08-11,509.23,511.43,501.29,502.78,355174,0.0
2021-08-12,503.5,511.11,501.605,510.37,245111,0.0
2021-08-13,510.61,519.34,509.42,517.51,327459,0.0
2021-08-16,519.15,522.95,516.01,522.07,83795,0.0
