Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-15,225.85,230.66,222.88,227.63,2336510,0.0
2020-05-18,232.13,239.43,232.13,236.42,1730408,0.0
2020-05-19,237.41,244.36,236.03,238.96,905832,0.0
2020-05-20,240.6,243.48,238.76,240.3,798597,0.0
2020-05-21,241.59,245.72,240.81,242.71,956902,0.0
2020-05-22,241.57,242.13,239.68,240.65,743466,0.0
2020-05-26,249.12,254.99,247.15,252.68,775897,0.0
2020-05-27,254.95,256.96,247.33,251.46,1371146,0.0
2020-05-28,252.07,254.64,250.0804,251.73,415713,0.0
2020-05-29,251.5,251.5,243.09,248,895379,0.0
2020-06-01,248.5,252.17,247.11,250.85,849231,0.0
2020-06-02,251.46,255.35,249.45,255.03,1541552,0.0
2020-06-03,258.91,271.9,256.63,270.72,1286690,0.0
2020-06-04,268.48,270.73,266.13,269.15,437797,0.0
2020-06-05,276.13,286.61,275.95,286.525,912355,0.0
2020-06-08,289.98,292.11,285.35,291.44,1320710,0.0
2020-06-09,285.87,286.91,281.81,283.36,964384,0.0
2020-06-10,283.77,283.77,275.06,278.35,541363,0.0
2020-06-11,266.68,271.7,261.9,262.99,1484068,0.0
2020-06-12,271.4,272.97,264.5559,265,122770,0.0
2020-06-15,258.6,267.58,257.3263,266.63,965641,0.0
2020-06-16,278.93,278.93,269.67,273.63,745051,0.0
2020-06-17,272.97,276.4,271.44,273.28,545714,0.0
2020-06-18,271.29,277.21,270.47,275.81,611806,0.0
2020-06-19,280.67,282.54,269.43,270.24,641730,0.0
2020-06-22,266.75,271.05,265.18,270.2,492972,0.0
2020-06-23,272.75,274.64,270.25,272.77,254174,0.0
2020-06-24,269.04,271.01,258.74,261.73,552783,0.0
2020-06-25,260.29,263.4,258.87,262.47,350720,0.0
2020-06-26,263.77,263.77,254.07,256.7,539123,0.0
2020-06-29,257.95,263.8405,255.37,263.81,370917,0.0
2020-06-30,261.6,267.83,260.01,266.14,484491,0.0
2020-07-01,271.71,272.03,266.19,268.17,565314,0.0
2020-07-02,271.32,276.49,270.18,270.65,342290,0.0
2020-07-06,275.41,277,272.65,273.41,342836,0.0
2020-07-07,270.88,272.915,269.08,269.98,371279,0.0
2020-07-08,268.49,272,268.08,271.39,287646,0.0
2020-07-09,269.37,270.74,261.79,266.07,377226,0.0
2020-07-10,263.93,268.139,263.72,266.9,234945,0.0
2020-07-13,269.81,272.605,265.52,266.36,474155,0.0
2020-07-14,262.52,270.8,261.65,270.28,280492,0.0
2020-07-15,271.34,279.21,271.27,278.39,323016,0.0
2020-07-16,277.35,278.75,274.55,277.66,338598,0.0
2020-07-17,279.94,280.62,275,280.13,235020,0.0
2020-07-20,279.91,280.78,276.7133,277.76,355985,0.0
2020-07-21,283.16,285.89,280.53,284.27,299806,0.0
2020-07-22,284.75,290,283.835,289.39,407910,0.0
2020-07-23,284.99,311.015,282.69,303.09,759771,0.0
2020-07-24,303.87,307.087,295.49,302.79,674440,0.0
2020-07-27,302.63,303.795,296.8,298.39,471188,0.0
2020-07-28,298.79,299.54,293.32,293.56,447258,0.0
2020-07-29,297.22,306.565,295.84,306,587294,0.0
2020-07-30,301.45,303.89,295.52,301.79,524155,0.0
2020-07-31,301.65,302.16,296.98,301.71,403498,0.0
2020-08-03,301.72,303.12,298.35,298.73,425149,0.0
2020-08-04,298.63,304,297.05,301.63,538546,0.0
2020-08-05,304.71,305.985,297.48,299.96,354750,0.0
2020-08-06,299.73,303.51,298.0159,303.03,282871,0.0
2020-08-07,302.67,310.38,300,310.02,369300,0.0
2020-08-10,310.3843,316.52,309.88,316.4,417500,0.0
2020-08-11,320.35,324.39,316.58,318.33,591721,0.0
2020-08-12,319.21,324.36,319.21,319.87,289048,0.0
2020-08-13,317.71,321.235,317.45,318.91,203505,0.0
2020-08-14,316.77,321.29,314.97,316.62,322366,0.0
2020-08-17,318.46,321.48,317.845,320.81,289516,0.0
2020-08-18,321.01,322.15,318.26,319.04,218124,0.0
2020-08-19,320.84,321,317.27,318.79,151834,0.0
2020-08-20,315.31,321.81,315.31,320.08,150206,0.0
2020-08-21,318.91,320.98,316.51,320.7,310852,0.0
2020-08-24,323.83,325.87,322.02,325.5,198160,0.0
2020-08-25,327.57,327.76,323.49,324.72,168116,0.0
2020-08-26,324,327.67,322.16,325.68,170240,0.0
2020-08-27,327.88,331.87,326.96,328.9,225081,0.0
2020-08-28,328.7,334.6,328.7,333.83,293644,0.0
2020-08-31,333.25,334.71,330.81,333.54,268606,0.0
2020-09-01,332.41,336.8999,330.05,335.33,271573,0.0
2020-09-02,337.55,343.37,335.13,342.21,245650,0.0
2020-09-03,344.23,344.97,326.81,330.7,426456,0.0
2020-09-04,332.27,334.09,325.47,331,541133,0.0
2020-09-08,328.8819,328.8819,317.89,318.91,550714,0.0
2020-09-09,321.8003,328.06,319.15,325.61,389602,0.0
2020-09-10,325,325.505,314.83,317.48,332010,0.0
2020-09-11,318.18,323.83,317.19,320.83,215927,0.0
2020-09-14,324.34,328.91,323.78,327.8,232678,0.0
