Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-08,125,125.35,122.825,123.75,1452984,0.0
2020-06-09,122.05,124.36,121.57,123.42,3061390,0.0
2020-06-10,124.19,124.58,121.985,122.89,2863205,0.0
2020-06-11,120.96,121.177,115.43,115.57,2641161,0.0
2020-06-12,119.51,119.7,117.27,117.38,1538668,0.0
2020-06-15,116.15,118.67,115.07,118.56,2840967,0.0
2020-06-16,123.63,124.35,120.2,122.73,2363914,0.0
2020-06-17,122.59,123.74,121.85,122.47,2511513,0.0
2020-06-18,122.36,123.47,121.99,122.755,1018940,0.0
2020-06-19,124.39,124.39,120.1,120.21,4674745,0.0
2020-06-22,120.02,120.73,118.345,120.52,1440835,0.0
2020-06-23,122.5,124.51,120.97,123.24,2263654,0.0
2020-06-24,122.38,122.61,118.63,119.42,1737627,0.0
2020-06-25,119.82,120.3,117.61,120.11,1463859,0.0
2020-06-26,119.87,120.02,117.14,117.88,1295016,0.0
2020-06-29,118.91,119.31,117.11,118.93,1130811,0.0
2020-06-30,119.52,123.2,119.01,122.69,1846145,0.0
2020-07-01,122.29,122.42,120.3,120.35,1364155,0.0
2020-07-02,122.41,122.81,120.74,121.3,1257361,0.0
2020-07-06,122.96,124.65,122.88,123.56,1012180,0.0
2020-07-07,121.69,124.3641,121.54,122.5,1675800,0.0
2020-07-08,123.07,123.595,120.99,122.85,1394160,0.0
2020-07-09,122.47,125.035,121.04,124.3,1524678,0.0
2020-07-10,124.41,125.08,122.81,124.5,1569311,0.0
2020-07-13,121.73,122.93,116.46,117.25,13455553,0.0
2020-07-14,116.19,118.28,113.81,118,5886004,0.0
2020-07-15,119.26,119.36,116.96,117.89,3624811,0.0
2020-07-16,116.72,116.9,114.91,115.73,3758451,0.0
2020-07-17,116.46,117.17,115.76,116.75,2379746,0.0
2020-07-20,117.04,117.85,115.54,117.03,2792669,0.0
2020-07-21,117.29,117.49,113.89,114.59,4548302,0.0
2020-07-22,114.64,115.01,113.05,113.84,3729819,0.0
2020-07-23,113.56,113.99,111.41,111.87,2326413,0.0
2020-07-24,110.99,113.965,110.84,112.2,3550876,0.0
2020-07-27,113.12,116.08,112.91,115.71,3728085,0.0
2020-07-28,114.77,115.99,113.77,115.4,3977592,0.0
2020-07-29,115.96,117.755,115.61,117.52,3517734,0.0
2020-07-30,114.74,116.56,114.17,116.25,2823500,0.0
2020-07-31,116.53,116.53,113.37,114.88,2656228,0.0
2020-08-03,115.87,116.7,115.11,116.57,1978068,0.0
2020-08-04,116.37,118.04,116.12,117.18,3034609,0.0
2020-08-05,116.58,116.74,114.93,116.16,2886140,0.0
2020-08-06,116.11,117.15,115.07,116.73,2000974,0.0
2020-08-07,116.87,117.3,115.52,116.22,1737331,0.0
2020-08-10,116.44,117.31,115.46,116.76,2833625,0.0
2020-08-11,117.32,119.43,116.33,116.52,3474550,0.0
2020-08-12,117.2,119.57,116.75,119.22,2861689,0.0
2020-08-13,118.245,119.135,117.55,118.06,2547133,0.0
2020-08-14,118.57,119.06,117.07,117.14,1834933,0.0
2020-08-17,118.43,118.4984,117.25,117.39,2149189,0.0
2020-08-18,118.01,118.69,117.19,117.88,5126695,0.0
2020-08-19,118.5,119.47,117.5107,118.15,4113238,0.0
2020-08-20,117.72,118.5,116.64,117.41,2602227,0.0
2020-08-21,117.07,117.23,115.74,116.13,2716965,0.0
2020-08-24,117.21,117.54,116.22,117.26,1811282,0.0
2020-08-25,117.4,119.995,117.4,119.9,2583299,0.0
2020-08-26,119.91,121.25,118.98,120.47,3147077,0.0
2020-08-27,120.95,120.97,117.95,119.05,2809488,0.0
2020-08-28,119.13,119.62,118.29,119.61,1834219,0.0
2020-08-31,118.75,118.98,116.8,116.83,2348161,0.0
2020-09-01,117.79,118.87,116.86,118.7485,2469748,0.0
2020-09-02,119.13,122.52,118.75,121.83,4667009,0.0
2020-09-03,121.35,121.36,116.76,117.12,5124959,0.0
